      lambda  accuracy, validation  iteration
0   0.001984              0.526505       20.0
1   0.001969              0.526505       11.0
2   0.002101              0.525905       13.0
3   0.001957              0.524505       17.0
4   0.001968              0.522705       15.0
5   0.002142              0.522304       16.0
6   0.002129              0.522104       18.0
7   0.002074              0.521704       14.0
8   0.002071              0.521104       19.0
9   0.002151              0.520304        6.0
10  0.001951              0.519304       10.0
11  0.004273              0.518704        5.0
12  0.001997              0.518104       12.0
13  0.003271              0.517904        1.0
14  0.002356              0.516903        9.0
15  0.004787              0.516703        8.0
16  0.002599              0.515503        7.0
17  0.004177              0.514703        4.0
18  0.002995              0.512903        3.0
19  0.002404              0.509502        2.0
