   lambda  accuracy, validation  iteration
 0.001956              0.528906       12.0
 0.004022              0.528106       17.0
 0.003297              0.527906       11.0
 0.003078              0.525105       15.0
 0.002053              0.523705       19.0
 0.002385              0.523305       13.0
 0.003958              0.521104        9.0
 0.003261              0.521104       16.0
 0.002036              0.520904        3.0
 0.002670              0.520304       20.0
 0.002783              0.519104       14.0
 0.001049              0.518104       10.0
 0.001170              0.517904        7.0
 0.003364              0.517303       18.0
 0.003628              0.516503        8.0
 0.001762              0.516303        4.0
 0.002899              0.516103        5.0
 0.001976              0.515903        6.0
 0.003025              0.515303        1.0
 0.002383              0.515103        2.0
