  lambda  val_accuracy  iteration
0.004881      0.516629        9.0
0.007638      0.516129       13.0
0.011820      0.514129       16.0
0.006465      0.513628       14.0
0.005581      0.512378       12.0
0.010613      0.512378       20.0
0.009166      0.511628       18.0
0.013249      0.511628        5.0
0.010679      0.511128       15.0
0.007401      0.509127       11.0
0.012676      0.508877       17.0
0.012094      0.505876       10.0
0.013819      0.505626        2.0
0.012612      0.503626       19.0
0.015485      0.503626        4.0
0.022336      0.496374        7.0
0.034211      0.493873        6.0
0.048931      0.477869        3.0
0.084957      0.468367        8.0
0.094863      0.461115        1.0
