  lambda  val_accuracy  iteration
0.008699      0.516629        7.0
0.009051      0.513878       15.0
0.008681      0.513628       18.0
0.008655      0.513378       19.0
0.009123      0.513378       17.0
0.009134      0.513128       10.0
0.005558      0.513128        2.0
0.008731      0.511628       20.0
0.008718      0.511378       13.0
0.008682      0.511128       14.0
0.009171      0.510878        3.0
0.009076      0.510628       11.0
0.002707      0.510378        6.0
0.008708      0.510128        5.0
0.008755      0.509877       12.0
0.001987      0.508877        8.0
0.002548      0.507877        9.0
0.001017      0.507377        1.0
0.008965      0.506377       16.0
0.001468      0.502876        4.0
